Comuna,cod_com,Apruebo,Rechazo,Blancos,Nulos,Total general,P_Apruebo,P_Rechazo,Total Mesas,Total Electores,Total Votación,Part_2020,part_2017,DIF
CALERA DE TANGO,13403,9352,3340,17,41,12750,"0,733490196","0,261960784",65,22016,12750,"0,58","0,58","0,00"
PAINE,13404,22638,5141,58,115,27952,"0,80988838","0,183922438",158,52520,27952,"0,53","0,51","0,03"
MELIPILLA,13501,34520,8156,297,161,43134,"0,80029675","0,189085176",281,96589,43134,"0,45","0,49","-0,04"
ALHUE,13502,2323,309,1,7,2640,"0,879924242","0,117045455",21,6004,2640,"0,44","0,43","0,01"
CURACAVI,13503,11713,2970,28,78,14789,"0,792007573","0,200824937",75,25834,14789,"0,57","0,54","0,03"
MARIA PINTO,13504,4424,1022,12,15,5473,"0,808331811","0,18673488",33,11262,5473,"0,49","0,52","-0,03"
SAN PEDRO,13505,2374,629,10,16,3029,"0,783757016","0,207659293",24,8246,3029,"0,37","0,51","-0,14"
TALAGANTE,13601,27630,6531,52,110,34323,"0,804999563","0,19028057",168,57618,34323,"0,60","0,55","0,04"
EL MONTE,13602,12605,2378,28,64,15075,"0,83615257","0,15774461",80,27418,15075,"0,55","0,53","0,02"
ISLA DE MAIPO,13603,12381,2765,21,59,15226,"0,813148562","0,181597268",79,27290,15226,"0,56","0,52","0,04"
PADRE HURTADO,13604,22498,3501,22,95,26116,"0,861464236","0,134055751",125,42789,26116,"0,61","0,52","0,09"
PEÑAFLOR,13605,36885,6127,71,103,43186,"0,854096235","0,141874682",209,71945,43186,"0,60","0,51","0,09"
VALDIVIA,14101,58608,16167,120,257,75152,"0,779859485","0,215124015",403,137420,75152,"0,55","0,51","0,04"
CORRAL,14102,1991,370,5,13,2379,"0,836906263","0,155527533",18,5446,2379,"0,44","0,50","-0,06"
LANCO,14103,5084,1561,24,28,6697,"0,759145886","0,233089443",50,16031,6697,"0,42","0,50","-0,08"
LOS LAGOS,14104,5399,2050,29,40,7518,"0,718143123","0,272678904",61,18879,7518,"0,40","0,46","-0,06"
MAFIL,14105,2049,785,9,10,2853,"0,718191377","0,275148966",22,6998,2853,"0,41","0,49","-0,08"
MARIQUINA,14106,5934,1783,24,31,7772,"0,763510036","0,229413278",61,18622,7772,"0,42","0,47","-0,05"
PAILLACO,14107,5434,2188,24,27,7673,"0,708197576","0,285155741",63,19020,7673,"0,40","0,50","-0,10"
PANGUIPULLI,14108,8572,3697,72,108,12449,"0,688569363","0,296971644",105,34621,12449,"0,36","0,43","-0,07"
LA UNION,14201,10748,4063,26,70,14907,"0,721003555","0,272556517",110,35500,14907,"0,42","0,49","-0,07"
FUTRONO,14202,3464,2184,26,38,5712,"0,606442577","0,382352941",43,14439,5712,"0,40","0,48","-0,08"
LAGO RANCO,14203,2093,1208,21,26,3348,"0,625149343","0,360812425",29,9253,3348,"0,36","0,50","-0,14"
RIO BUENO,14204,7935,3610,44,56,11645,"0,68140833","0,310004294",100,30616,11645,"0,38","0,48","-0,10"
ARICA,15101,63906,19672,170,453,84201,"0,758969608","0,23363143",522,180315,84201,"0,47","0,40","0,07"
CAMARONES,15102,756,159,2,2,919,"0,822633297","0,173014146",10,3471,919,"0,27","0,24","0,03"
PUTRE,15201,719,346,3,7,1075,"0,668837209","0,321860465",14,5554,1075,"0,19","0,24","-0,04"
GENERAL LAGOS,15202,220,80,4,9,313,"0,702875399","0,255591054",6,2158,313,"0,15","0,14","0,01"
CHILLAN,16101,53981,21166,127,280,75554,"0,714469121","0,280144003",446,152870,75554,"0,49","0,52","-0,03"
BULNES,16102,5574,2163,22,167,7926,"0,70325511","0,272899319",66,20518,7926,"0,39","0,52","-0,14"
CHILLAN VIEJO,16103,8076,3142,20,35,11273,"0,716402023","0,278719063",64,21631,11273,"0,52","0,57","-0,05"
EL CARMEN,16104,2390,1353,13,18,3774,"0,633280339","0,358505564",39,12336,3774,"0,31","0,54","-0,23"
PEMUCO,16105,1935,924,11,10,2880,"0,671875","0,320833333",27,8132,2880,"0,35","0,52","-0,16"
PINTO,16106,2235,2014,22,29,4300,"0,519767442","0,468372093",32,11019,4300,"0,39","0,57","-0,18"
QUILLON,16107,4072,1793,16,32,5913,"0,688652122","0,303230171",46,15370,5913,"0,39","0,52","-0,13"
SAN IGNACIO,16108,3255,1648,15,32,4950,"0,657575758","0,332929293",45,14396,4950,"0,34","0,52","-0,18"
YUNGAY,16109,5262,1584,16,29,6891,"0,763604702","0,229865041",49,16167,6891,"0,43","0,49","-0,06"
QUIRIHUE,16201,3159,781,14,32,3986,"0,792523833","0,195935775",35,10935,3986,"0,37","0,54","-0,17"
COBQUECURA,16202,1595,459,11,10,2075,"0,768674699","0,221204819",17,5643,2075,"0,37","0,58","-0,21"
COELEMU,16203,1595,459,11,10,2075,"0,768674699","0,221204819",51,15253,6789,"0,45","0,57","-0,13"
NINHUE,16204,1353,547,6,14,1920,"0,7046875","0,284895833",20,6027,1920,"0,32","0,55","-0,23"
PORTEZUELO,16205,1420,606,4,7,2037,"0,697103584","0,297496318",16,5758,2037,"0,35","0,55","-0,20"
RANQUIL,16206,1505,672,7,15,2199,"0,684402001","0,305593452",17,5541,2199,"0,40","0,55","-0,15"
TREGUACO,16207,1569,528,9,9,2115,"0,7482","0,2518",20,5883,2115,"0,36","0,57","-0,21"
SAN CARLOS,16301,12268,5729,42,89,18128,"0,67674316","0,31603045",138,47391,18128,"0,38","0,50","-0,12"
COIHUECO,16302,4420,2737,25,47,7229,"0,6114262","0,378613916",73,21839,7229,"0,33","0,53","-0,20"
ÑIQUEN,16303,2003,1228,10,17,3258,"0,614794352","0,376918355",33,10388,3258,"0,31","0,53","-0,22"
SAN FABIAN,16304,1364,516,7,12,1899,"0,718272775","0,271721959",17,4841,1899,"0,39","0,50","-0,10"
